,from_team,from_x,from_y,from_frame,from_player_num,to_team,to_x,to_y,to_frame,to_player_num,play
0,attack,46.394557823129254,11.134453781512605,0,10,attack,48.84415966011207,27.191909726299627,22.0,8,Liverpool [3] - 0 Bournemouth
1,attack,51.8131854488348,28.611598476717177,42,8,attack,85.5652578294553,30.76705566665259,108.0,9,Liverpool [3] - 0 Bournemouth
2,attack,85.5652578294553,30.76705566665259,108,9,attack,86.21903588826113,33.23638913768427,118.0,11,Liverpool [3] - 0 Bournemouth
0,attack,36.05442176870749,68.27731092436974,16,4,attack,82.95588807010118,73.00358377774715,78.0,10,Bayern 0 - [1] Liverpool
0,attack,47.42923037743442,15.842043887146858,14,26,attack,28.4979232686131,7.131784718198374,42.0,10,Fulham 0 - [1] Liverpool
1,attack,10.715204647705855,23.615313127211238,118,10,attack,0.6773204685544929,36.77624082692175,154.0,9,Fulham 0 - [1] Liverpool
2,attack,0.6773204685544929,36.77624082692175,154,9,attack,6.826108058626929,44.92620922699271,168.0,10,Fulham 0 - [1] Liverpool
0,defense,85.34208838262258,42.88289893408577,22,,defense,78.38727387492091,41.05041270296712,48.0,,Southampton 1 - [2] Liverpool
2,attack,79.61932398691222,60.777576754608056,72,14,attack,59.10829481053875,50.27293966906284,110.0,11,Southampton 1 - [2] Liverpool
0,attack,30.978003975813323,24.411719345401767,56,9,attack,29.18292973517805,63.57488207208261,90.0,14,Liverpool [2] - 0 Porto
1,attack,26.80761231538325,64.72695524129514,120,14,attack,9.724838896149086,73.72323306767933,146.0,66,Liverpool [2] - 0 Porto
2,attack,5.238875446994827,69.2185731276362,164,66,attack,2.7356841060089185,47.57077510483676,178.0,9,Liverpool [2] - 0 Porto
0,attack,84.35374149659863,24.57983193277312,36,9,attack,76.88460597452466,49.260327009276075,58.0,5,Porto 0 - [2] Liverpool
1,attack,71.65165205236603,55.939845667970246,86,5,attack,57.687074829931966,77.73109243697479,126.0,66,Porto 0 - [2] Liverpool
2,attack,43.28257771011981,73.83135735247654,174,66,attack,20.510372119013734,41.028357814690494,212.0,11,Porto 0 - [2] Liverpool
0,attack,98.89613689178549,0.2354642178073761,92,66,attack,93.5861151722526,43.28285846830431,120.0,27,Liverpool [4] - 0 Barcelona
0,attack,61.63265306122449,75.63025210084034,0,10,attack,73.18508706843637,14.843936213642893,42.0,66,Liverpool [1] - 0 Wolves
1,attack,73.18508706843637,14.843936213642893,42,66,attack,76.18524071556102,28.089605347755928,70.0,14,Liverpool [1] - 0 Wolves
2,attack,76.18524071556102,28.089605347755928,70,14,attack,92.15169181158657,17.127507237387135,108.0,66,Liverpool [1] - 0 Wolves
3,attack,92.15169181158657,17.127507237387135,108,66,attack,93.88497139158669,51.32574810453343,136.0,10,Liverpool [1] - 0 Wolves
0,attack,17.598386319921254,89.9967293096286,28,14,attack,33.197278911564624,80.88235294117645,56.0,66,Liverpool [3] - 0 Norwich
1,attack,31.83302222501751,80.11938149431339,80,66,attack,9.404132704753414,46.61991876781458,116.0,27,Liverpool [3] - 0 Norwich
1,attack,71.7158835991748,90.11273266393937,82,10,attack,97.08864226197059,78.25348434366627,142.0,9,Liverpool [2] - 1 Chelsea
2,attack,97.08864226197059,78.25348434366627,142,9,attack,89.10802456742735,61.6426517336192,162.0,10,Liverpool [2] - 1 Chelsea
1,attack,68.52628447650449,31.122054829370583,48,9,attack,90.68578762447878,42.59175040279592,88.0,10,Liverpool [2] - 1 Newcastle
